ID;TAG;TITLE;BIO;TYPE;DURATION;GENRE;IMBDLINK;IMAGEURL;GRADIENTCOLORS;CTAPAGE
vidas-criminales;Miércoles 18 - 22:30;Vidas Criminales;Dos delincuentes comunes obtienen más de lo que esperaban después de secuestrar a la esposa de un desarrollador inmobiliario corrupto que no muestra interés en pagar el rescate de 1 millón de dólares por su regreso seguro.;Cine;1h 38m;Comedia/Crimen;https://www.imdb.com/es-es/title/tt1663207/;https://i.ibb.co/C5t6pfb6/2.jpg;"rgba(16, 16, 16, 0.9) 20%;rgba(16, 16, 16, 0.1) 70%";schedule
pixie;Miércoles 18 - 20:30;Pixie;Para vengar la muerte de su madre, Pixie planea un atraco, pero debe huir a través de Irlanda de los gánsteres, enfrentarse al patriarcado y elegir su propio destino.;Cine;1h 33m;Comedia Negra;https://www.imdb.com/es-es/title/tt10831086/;https://i.ibb.co/h1JgQwF7/1.jpg;"rgba(16, 16, 16, 0.9) 20%;rgba(16, 16, 16, 0.1) 70%";schedule
crimenes-del-futuro;Domingo 22- 23:50;Crímenes del futuro;La especie humana evoluciona y se adapta a un entorno sintético, el cuerpo es sometido a nuevas transformaciones y mutaciones. El artista Saul exhibe las metamorfósis de sus órganos en performances de vanguardia.;Cine;1h 47m;Sci-Fi/Horror;https://www.imdb.com/es-es/title/tt14549466/;https://i.ibb.co/KpMXNkz3/3.jpg;"rgba(16, 16, 16, 0.9) 20%;rgba(16, 16, 16, 0.1) 70%";schedule
plan-a;Jueves 19 - 23:45;Plan A;En 1945, un grupo de sobrevivientes judíos del Holocausto planeó envenenar el sistema de agua en Alemania. La película narra la peligrosa y atrevida operación encubierta que se llamó Plan A.;Cine;1h 49m;Drama histórico;https://www.imdb.com/es-es/title/tt5448338/;https://i.ibb.co/tMVXFxJ2/4.jpg;"rgba(16, 16, 16, 0.9) 20%;rgba(16, 16, 16, 0.1) 70%";schedule
